x,y,cheb_y
0.100000,0.000000,0.020337
0.200000,0.000000,0.034862
0.300000,0.000000,0.025662
0.400000,0.000000,0.003198
0.500000,0.000000,-0.023462
0.600000,0.000000,-0.046646
0.700000,0.000000,-0.060076
0.800000,0.000000,-0.058871
0.900000,0.000000,-0.039544
1.000000,0.000000,-0.000000
1.100000,0.100000,0.060456
1.200000,0.200000,0.141129
1.300000,0.300000,0.239924
1.400000,0.400000,0.353354
1.500000,0.500000,0.476538
1.600000,0.600000,0.603198
1.700000,0.700000,0.725662
1.800000,0.800000,0.834862
1.900000,0.900000,0.920337
2.000000,1.000000,0.970228
